epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.3717,1.19843,3.6466,0.74482,1.57736,1.22289,0.99447,0.92,0.95716,0.81286,0.99447,0.92,0.95716,0.50177,0.70893,2.22026,0.63778,0.93741,0.91516,0.000657778,0.000657778,0.000657778
2,155.953,0.81371,1.30725,0.59904,0.58947,0.9739,0.98666,0.98594,0.99461,0.8432,0.98666,0.98594,0.99461,0.83065,0.69771,0.70259,0.33223,0.50371,0.90522,0.00128074,0.00128074,0.00128074
3,236.657,0.76098,0.85446,0.47093,0.57592,0.95321,0.9931,0.95981,0.99244,0.86502,0.99291,0.98,0.9932,0.90558,0.59577,0.48013,0.19756,0.46842,0.86602,0.0018597,0.0018597,0.0018597
4,314.992,0.68164,0.60483,0.44719,0.51466,0.92776,0.97927,0.94466,0.98194,0.8454,0.97927,0.94466,0.98339,0.85319,0.58147,0.44362,0.14046,0.59091,0.88209,0.001802,0.001802,0.001802
5,411.734,0.66239,0.49667,0.4068,0.48875,0.92603,0.99328,0.98547,0.99442,0.88037,0.99328,0.98547,0.99442,0.97111,0.52266,0.27518,0.16457,0.4023,0.83762,0.001736,0.001736,0.001736
6,517.269,0.64019,0.45989,0.39941,0.46983,0.92237,0.97338,0.99333,0.99427,0.88736,0.97992,1,0.9948,0.98705,0.53058,0.21017,0.13339,0.441,0.85316,0.00167,0.00167,0.00167
7,617.319,0.59091,0.38327,0.38764,0.44523,0.91305,0.99921,0.99333,0.995,0.89947,0.99921,0.99333,0.995,0.97696,0.46772,0.21114,0.14065,0.35672,0.82802,0.001604,0.001604,0.001604
8,722.155,0.60486,0.40083,0.36633,0.45591,0.90629,0.99764,1,0.995,0.90678,0.99764,1,0.995,0.99233,0.44644,0.1574,0.12977,0.38857,0.82638,0.001538,0.001538,0.001538
9,822.577,0.58479,0.37968,0.34374,0.435,0.9009,1,0.99823,0.995,0.87409,0.99917,0.99333,0.995,0.97628,0.48576,0.21636,0.11475,0.35403,0.83753,0.001472,0.001472,0.001472
10,929.481,0.55784,0.33485,0.31653,0.40698,0.89022,0.99624,0.98667,0.99493,0.91018,0.9926,1,0.99493,0.99139,0.43401,0.15061,0.10441,0.32202,0.82575,0.001406,0.001406,0.001406
11,1034.75,0.56374,0.31164,0.31207,0.40919,0.8937,1,0.99986,0.995,0.92566,1,0.99986,0.995,0.98947,0.40294,0.13869,0.08851,0.3123,0.81177,0.00134,0.00134,0.00134
12,1137.13,0.52608,0.31202,0.28687,0.39536,0.88512,1,0.99843,0.995,0.91299,1,0.99843,0.995,0.9929,0.43378,0.13322,0.09191,0.31919,0.81668,0.001274,0.001274,0.001274
13,1245.28,0.52202,0.28055,0.26409,0.38503,0.88337,1,0.99993,0.995,0.91163,1,0.99993,0.995,0.98847,0.43164,0.12646,0.06477,0.29682,0.81457,0.001208,0.001208,0.001208
14,1348.63,0.51854,0.25471,0.2498,0.37313,0.88269,0.99338,0.9997,0.99474,0.92948,0.99338,0.9997,0.99474,0.98684,0.38456,0.12713,0.06218,0.30082,0.80726,0.001142,0.001142,0.001142
15,1450.77,0.50108,0.2624,0.24576,0.37244,0.88038,0.99958,1,0.995,0.93017,0.99958,1,0.995,0.99261,0.36575,0.11131,0.06063,0.28464,0.80284,0.001076,0.001076,0.001076
16,1556.78,0.47042,0.24152,0.23004,0.34694,0.87025,0.9996,1,0.995,0.94618,0.9996,1,0.995,0.99283,0.35473,0.1262,0.06068,0.26057,0.79794,0.00101,0.00101,0.00101
17,1663.02,0.46561,0.24391,0.21003,0.34617,0.86761,0.99778,0.99333,0.995,0.94802,0.99962,1,0.995,0.9929,0.33795,0.12125,0.04125,0.26645,0.79797,0.000944,0.000944,0.000944
18,1768.66,0.44247,0.22119,0.19708,0.3333,0.86091,0.9996,1,0.995,0.96097,0.9996,1,0.995,0.99053,0.31344,0.09463,0.0454,0.24865,0.78914,0.000878,0.000878,0.000878
19,1873.66,0.45121,0.21074,0.20118,0.33497,0.87028,0.99926,0.99333,0.995,0.94695,0.99968,1,0.995,0.99205,0.33945,0.10141,0.03488,0.26102,0.79892,0.000812,0.000812,0.000812
20,1979.54,0.43917,0.20684,0.18543,0.32141,0.86141,0.99956,1,0.995,0.95946,0.99956,1,0.995,0.99294,0.31461,0.08164,0.03702,0.24334,0.7923,0.000746,0.000746,0.000746
21,2083.47,0.32852,0.10404,0.03092,0.2601,0.79786,1,0.99082,0.995,0.95484,0.99337,0.99903,0.995,0.99325,0.3152,0.07497,0.01751,0.24781,0.79073,0.00068,0.00068,0.00068
22,2187.71,0.32823,0.09076,0.02161,0.25709,0.79363,1,0.99822,0.995,0.94974,1,0.99822,0.995,0.99382,0.32617,0.07511,0.01346,0.25959,0.79292,0.000614,0.000614,0.000614
23,2292.28,0.31962,0.08561,0.01567,0.25038,0.79491,0.99896,1,0.995,0.95941,0.99896,1,0.995,0.99382,0.30187,0.06796,0.01028,0.23631,0.78955,0.000548,0.000548,0.000548
24,2396.33,0.29726,0.0762,0.01382,0.23687,0.79829,0.99961,1,0.995,0.9683,0.99961,1,0.995,0.99471,0.2774,0.06266,0.00886,0.22694,0.78537,0.000482,0.000482,0.000482
25,2501.14,0.28048,0.06771,0.01206,0.2226,0.78134,0.99935,1,0.995,0.96826,0.99935,1,0.995,0.99441,0.27423,0.06305,0.00805,0.22318,0.78576,0.000416,0.000416,0.000416
26,2605.84,0.27507,0.06775,0.01148,0.22015,0.78078,0.99961,1,0.995,0.97615,0.99961,1,0.995,0.99378,0.26097,0.05466,0.00739,0.21141,0.78138,0.00035,0.00035,0.00035
27,2710.78,0.26814,0.0681,0.01278,0.21443,0.78424,0.99959,1,0.995,0.97754,0.99959,1,0.995,0.99391,0.25359,0.05507,0.00707,0.20525,0.78134,0.000284,0.000284,0.000284
28,2816.13,0.2551,0.06059,0.01267,0.20483,0.78244,0.9996,1,0.995,0.97531,0.9996,1,0.995,0.995,0.24817,0.0509,0.00698,0.19847,0.78065,0.000218,0.000218,0.000218
29,2920.99,0.24317,0.05877,0.01288,0.19383,0.7806,0.99962,1,0.995,0.98104,0.99962,1,0.995,0.995,0.23635,0.04703,0.00649,0.18972,0.77906,0.000152,0.000152,0.000152
30,3025.08,0.23432,0.05396,0.0124,0.18779,0.77986,0.9996,1,0.995,0.97811,0.9996,1,0.995,0.995,0.23218,0.04649,0.00649,0.1844,0.77868,8.6e-05,8.6e-05,8.6e-05
